784157544 : 	60	0	0	28	0	0	0	30	
785764892 : 	60	0	0	28	0	0	0	30	
785864772 : 	60	0	0	28	0	0	0	3	
786972656 : 	60	0	0	28	0	0	0	30	
787473220 : 	60	0	0	28	0	0	0	3	
788478012 : 	60	0	0	28	0	0	0	21	
788780268 : 	60	0	0	28	0	0	0	12	
790686736 : 	60	0	0	28	0	0	0	3	
791490320 : 	60	0	0	28	0	0	0	3	
795107836 : 	60	0	0	28	0	0	0	3	
796313652 : 	60	0	0	28	0	0	0	3	
796415060 : 	60	0	0	28	0	0	0	12	
798323216 : 	60	0	0	28	0	0	0	3	
799027016 : 	60	0	0	28	0	0	0	30	
799126724 : 	60	0	0	28	0	0	0	3	
799729720 : 	60	0	0	28	0	0	0	21	
799931508 : 	60	0	0	28	0	0	0	3	
801840348 : 	60	0	0	28	0	0	0	30	
803649400 : 	60	0	0	28	0	0	0	12	
807269636 : 	60	0	0	28	0	0	0	12	
809576368 : 	60	0	0	28	0	0	0	3	
809676752 : 	60	0	0	28	0	0	0	12	
810581832 : 	60	0	0	28	0	0	0	21	
812190032 : 	60	0	0	28	0	0	0	21	
812591400 : 	60	0	0	28	0	0	0	21	
812995492 : 	60	0	0	28	0	0	0	21	
813998492 : 	60	0	0	28	0	0	0	3	
814501860 : 	60	0	0	28	0	0	0	12	
814601652 : 	60	0	0	28	0	0	0	21	
816510156 : 	60	0	0	28	0	0	0	12	
816610032 : 	60	0	0	28	0	0	0	21	
817116804 : 	60	0	0	28	0	0	0	30	
818618244 : 	60	0	0	28	0	0	0	21	
819221316 : 	60	0	0	28	0	0	0	3	
820930836 : 	60	0	0	28	0	0	0	12	
823341352 : 	60	0	0	28	0	0	0	12	
823943408 : 	60	0	0	28	0	0	0	30	
825349560 : 	60	0	0	28	0	0	0	12	
826155360 : 	60	0	0	28	0	0	0	12	
826556136 : 	60	0	0	28	0	0	0	12	
833790232 : 	60	0	0	28	0	0	0	12	
834292328 : 	60	0	0	28	0	0	0	21	
835198428 : 	60	0	0	28	0	0	0	30	
836202700 : 	60	0	0	28	0	0	0	12	
838615596 : 	60	0	0	28	0	0	0	12	
839116756 : 	60	0	0	28	0	0	0	21	
839418252 : 	60	0	0	28	0	0	0	12	
839518304 : 	60	0	0	28	0	0	0	21	
842732996 : 	60	0	0	28	0	0	0	21	
843939148 : 	60	0	0	28	0	0	0	21	
844342216 : 	60	0	0	28	0	0	0	21	
846753752 : 	60	0	0	28	0	0	0	21	
847958968 : 	60	0	0	28	0	0	0	21	
848059180 : 	60	0	0	28	0	0	0	30	
848159228 : 	60	0	0	28	0	0	0	3	
849267116 : 	60	0	0	28	0	0	0	30	
849769128 : 	60	0	0	28	0	0	0	3	
849969308 : 	60	0	0	28	0	0	0	21	
850270456 : 	60	0	0	28	0	0	0	12	
850371436 : 	60	0	0	28	0	0	0	21	
850973576 : 	60	0	0	28	0	0	0	3	
851479672 : 	60	0	0	28	0	0	0	12	
852882424 : 	60	0	0	28	0	0	0	30	
853284300 : 	60	0	0	28	0	0	0	30	
853485244 : 	60	0	0	28	0	0	0	12	
854289432 : 	60	0	0	28	0	0	0	12	
857302932 : 	60	0	0	28	0	0	0	30	
859011184 : 	60	0	0	28	0	0	0	3	
860417500 : 	60	0	0	28	0	0	0	21	
860819472 : 	60	0	0	28	0	0	0	21	
864139056 : 	60	0	0	28	0	0	0	30	
865141632 : 	60	0	0	28	0	0	0	12	
865343600 : 	60	0	0	28	0	0	0	30	
865442532 : 	60	0	0	28	0	0	0	3	
865644668 : 	60	0	0	28	0	0	0	21	
866149308 : 	60	0	0	28	0	0	0	30	
867453976 : 	60	0	0	28	0	0	0	3	
868056876 : 	60	0	0	28	0	0	0	21	
868761100 : 	60	0	0	28	0	0	0	12	
869262176 : 	60	0	0	28	0	0	0	21	
869565116 : 	60	0	0	28	0	0	0	12	
869664912 : 	60	0	0	28	0	0	0	21	
874889856 : 	60	0	0	28	0	0	0	21	
874990328 : 	60	0	0	28	0	0	0	30	
876396824 : 	60	0	0	28	0	0	0	12	
880012388 : 	60	0	0	28	0	0	0	12	
881020228 : 	60	0	0	28	0	0	0	30	
882024160 : 	60	0	0	28	0	0	0	12	
882426128 : 	60	0	0	28	0	0	0	12	
883431168 : 	60	0	0	28	0	0	0	30	
884937368 : 	60	0	0	28	0	0	0	21	
885843048 : 	60	0	0	28	0	0	0	30	
886044068 : 	60	0	0	28	0	0	0	12	
886649020 : 	60	0	0	28	0	0	0	30	
887050892 : 	60	0	0	28	0	0	0	30	
887953336 : 	60	0	0	28	0	0	0	3	
890970836 : 	60	0	0	28	0	0	0	21	
891772728 : 	60	0	0	28	0	0	0	21	
892476104 : 	60	0	0	28	0	0	0	12	
893381436 : 	60	0	0	28	0	0	0	21	
893983492 : 	60	0	0	28	0	0	0	3	
894486700 : 	60	0	0	28	0	0	0	12	
894889848 : 	60	0	0	28	0	0	0	12	
895893868 : 	60	0	0	28	0	0	0	30	
896797504 : 	60	0	0	28	0	0	0	3	
899007076 : 	60	0	0	28	0	0	0	21	
899714700 : 	60	0	0	28	0	0	0	12	
901720276 : 	50	0	0	28	0	0	0	13	
901924788 : 	50	0	0	28	0	0	0	31	
903225380 : 	50	0	0	28	0	0	0	4	
903326352 : 	50	0	0	28	0	0	0	13	
903627592 : 	50	0	0	28	0	0	0	4	
905838016 : 	50	0	0	28	0	0	0	22	
907546348 : 	50	0	0	28	0	0	0	31	
908049804 : 	50	0	0	28	0	0	0	4	
910564448 : 	50	0	0	28	0	0	0	13	
910663296 : 	50	0	0	28	0	0	0	22	
910863728 : 	50	0	0	28	0	0	0	4	
910964536 : 	50	0	0	28	0	0	0	13	
911769748 : 	50	0	0	28	0	0	0	13	
912671592 : 	50	0	0	28	0	0	0	22	
913273732 : 	50	0	0	28	0	0	0	4	
914681932 : 	50	0	0	28	0	0	0	22	
915386068 : 	50	0	0	28	0	0	0	13	
915485780 : 	50	0	0	28	0	0	0	22	
915786332 : 	50	0	0	28	0	0	0	13	
916892352 : 	50	0	0	28	0	0	0	4	
918199568 : 	50	0	0	28	0	0	0	13	
919206308 : 	50	0	0	28	0	0	0	31	
919505848 : 	50	0	0	28	0	0	0	22	
920816460 : 	50	0	0	28	0	0	0	31	
921414436 : 	50	0	0	28	0	0	0	13	
921716272 : 	50	0	0	28	0	0	0	4	
921917380 : 	50	0	0	28	0	0	0	22	
922117896 : 	50	0	0	28	0	0	0	4	
922419904 : 	50	0	0	28	0	0	0	31	
922920984 : 	50	0	0	28	0	0	0	4	
923424864 : 	50	0	0	28	0	0	0	13	
924630668 : 	50	0	0	28	0	0	0	13	
925131400 : 	50	0	0	28	0	0	0	22	
926137292 : 	50	0	0	28	0	0	0	4	
926739348 : 	50	0	0	28	0	0	0	22	
927042544 : 	50	0	0	28	0	0	0	13	
929254244 : 	50	0	0	28	0	0	0	31	
929957028 : 	50	0	0	28	0	0	0	22	
931766160 : 	50	0	0	28	0	0	0	4	
932569412 : 	50	0	0	28	0	0	0	4	
933072696 : 	50	0	0	28	0	0	0	13	
934176252 : 	50	0	0	28	0	0	0	4	
936690728 : 	50	0	0	28	0	0	0	13	
938195564 : 	50	0	0	28	0	0	0	4	
938699104 : 	50	0	0	28	0	0	0	13	
939100980 : 	50	0	0	28	0	0	0	13	
939904400 : 	50	0	0	28	0	0	0	13	
941411536 : 	50	0	0	28	0	0	0	4	
941611628 : 	50	0	0	28	0	0	0	22	
942114488 : 	50	0	0	28	0	0	0	31	
943722176 : 	50	0	0	28	0	0	0	31	
946334568 : 	50	0	0	28	0	0	0	13	
947640932 : 	50	0	0	28	0	0	0	22	
948345328 : 	50	0	0	28	0	0	0	13	
949752672 : 	50	0	0	28	0	0	0	31	
950758220 : 	50	0	0	28	0	0	0	13	
951258788 : 	50	0	0	28	0	0	0	22	
953168568 : 	50	0	0	28	0	0	0	13	
954873412 : 	50	0	0	28	0	0	0	22	
955779264 : 	50	0	0	28	0	0	0	31	
959395668 : 	50	0	0	28	0	0	0	31	
960501948 : 	50	0	0	28	0	0	0	22	
961005140 : 	50	0	0	28	0	0	0	31	
962011540 : 	50	0	0	28	0	0	0	13	
962111164 : 	50	0	0	28	0	0	0	22	
964924832 : 	50	0	0	28	0	0	0	22	
966132004 : 	50	0	0	28	0	0	0	22	
966433668 : 	50	0	0	28	0	0	0	13	
969752236 : 	50	0	0	28	0	0	0	22	
971256912 : 	50	0	0	28	0	0	0	13	
978896196 : 	50	0	0	28	0	0	0	13	
979096204 : 	50	0	0	28	0	0	0	31	
980704408 : 	50	0	0	28	0	0	0	31	
981106452 : 	50	0	0	28	0	0	0	31	
981307484 : 	50	0	0	28	0	0	0	13	
982016716 : 	50	0	0	28	0	0	0	4	
982916780 : 	50	0	0	28	0	0	0	13	
985829484 : 	50	0	0	28	0	0	0	22	
986534380 : 	50	0	0	28	0	0	0	13	
986633664 : 	50	0	0	28	0	0	0	22	
987939772 : 	50	0	0	28	0	0	0	31	
990253556 : 	50	0	0	28	0	0	0	22	
992663392 : 	50	0	0	28	0	0	0	22	
994371644 : 	50	0	0	28	0	0	0	31	
996381892 : 	50	0	0	28	0	0	0	31	
996883812 : 	50	0	0	28	0	0	0	4	
997386160 : 	50	0	0	28	0	0	0	13	
998490312 : 	50	0	0	28	0	0	0	4	
999294668 : 	50	0	0	28	0	0	0	4	
1002005488 : 	50	0	0	28	0	0	0	31	
1002105364 : 	50	0	0	28	0	0	0	4	
1002608564 : 	50	0	0	28	0	0	0	13	
1003418528 : 	50	0	0	28	0	0	0	13	
1005119036 : 	50	0	0	28	0	0	0	22	
1006125268 : 	50	0	0	28	0	0	0	4	
1006226416 : 	50	0	0	28	0	0	0	13	
1006929452 : 	50	0	0	28	0	0	0	4	
1007836064 : 	50	0	0	28	0	0	0	13	
1009542524 : 	50	0	0	28	0	0	0	22	
1009643248 : 	50	0	0	28	0	0	0	31	
1009743208 : 	50	0	0	28	0	0	0	4	
1010948420 : 	50	0	0	28	0	0	0	4	
1011451620 : 	50	0	0	28	0	0	0	13	
1013663152 : 	50	0	0	28	0	0	0	31	
1015974728 : 	50	0	0	28	0	0	0	22	
1016276816 : 	50	0	0	28	0	0	0	13	
1017280156 : 	50	0	0	28	0	0	0	31	
1018989252 : 	50	0	0	28	0	0	0	4	
1019291512 : 	50	0	0	28	0	0	0	31	
1020098504 : 	50	0	0	28	0	0	0	31	
1020195148 : 	50	0	0	28	0	0	0	4	
1021198828 : 	50	0	0	28	0	0	0	22	
1023311332 : 	50	0	0	28	0	0	0	31	
1024518756 : 	50	0	0	28	0	0	0	31	
1025320732 : 	50	0	0	28	0	0	0	31	
1025621632 : 	50	0	0	28	0	0	0	22	
1026225048 : 	50	0	0	28	0	0	0	4	
1026826932 : 	50	0	0	28	0	0	0	22	
1028336276 : 	50	0	0	28	0	0	0	13	
1030143888 : 	50	0	0	28	0	0	0	31	
1030747896 : 	50	0	0	28	0	0	0	13	
1032053496 : 	50	0	0	28	0	0	0	22	
1032555932 : 	50	0	0	28	0	0	0	31	
1032958072 : 	50	0	0	28	0	0	0	31	
1033259220 : 	50	0	0	28	0	0	0	22	
1034061884 : 	50	0	0	28	0	0	0	22	
1035268960 : 	50	0	0	28	0	0	0	22	
1035670248 : 	50	0	0	28	0	0	0	22	
1035972420 : 	50	0	0	28	0	0	0	13	
1036072212 : 	50	0	0	28	0	0	0	22	
1036475196 : 	50	0	0	28	0	0	0	22	
1036776268 : 	50	0	0	28	0	0	0	13	
1038682816 : 	50	0	0	28	0	0	0	4	
1039590360 : 	50	0	0	28	0	0	0	13	
1040893240 : 	50	0	0	28	0	0	0	22	
1043305884 : 	50	0	0	28	0	0	0	22	
1045417452 : 	50	0	0	28	0	0	0	31	
1045621800 : 	50	0	0	28	0	0	0	13	
1049333920 : 	50	0	0	28	0	0	0	22	
1051242928 : 	50	0	0	28	0	0	0	13	
1051543828 : 	50	0	0	28	0	0	0	4	
1051946728 : 	50	0	0	28	0	0	0	4	
1052651800 : 	50	0	0	28	0	0	0	31	
1052751252 : 	50	0	0	28	0	0	0	4	
1054659764 : 	50	0	0	28	0	0	0	31	
1055261644 : 	50	0	0	28	0	0	0	13	
1056467708 : 	50	0	0	28	0	0	0	13	
1057069088 : 	50	0	0	28	0	0	0	31	
1058176208 : 	50	0	0	28	0	0	0	22	
1059282312 : 	50	0	0	28	0	0	0	13	
1061089156 : 	50	0	0	28	0	0	0	31	
1061389120 : 	50	0	0	28	0	0	0	22	
1061591592 : 	50	0	0	28	0	0	0	4	
1062497184 : 	50	0	0	28	0	0	0	13	
1063701208 : 	50	0	0	28	0	0	0	13	
1063901892 : 	50	0	0	28	0	0	0	31	
1064603828 : 	50	0	0	28	0	0	0	22	
1065510092 : 	50	0	0	28	0	0	0	31	
1067319572 : 	50	0	0	28	0	0	0	13	
1067419792 : 	50	0	0	28	0	0	0	22	
1068324960 : 	50	0	0	28	0	0	0	31	
1068625852 : 	50	0	0	28	0	0	0	22	
1069128968 : 	50	0	0	28	0	0	0	31	
1072645168 : 	50	0	0	28	0	0	0	22	
1073752288 : 	50	0	0	28	0	0	0	13	
1074958528 : 	50	0	0	28	0	0	0	13	
1075460700 : 	50	0	0	28	0	0	0	22	
1075762204 : 	50	0	0	28	0	0	0	13	
1076165184 : 	50	0	0	28	0	0	0	13	
1078374164 : 	50	0	0	28	0	0	0	31	
1080582460 : 	50	0	0	28	0	0	0	13	
