00	00	00	00	00	00	7C	0F
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	19
00	00	00	00	00	00	88	0D
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
00	00	00	00	11	35	00	28
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	37
0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	A
0	0	0	0	0	0	0	28
